Recency,Frequency,Monetary,Avg_Order_Value,Purchase_Rate
326,2,0.0,0.0,0.0061162079510703364
2,7,4310.0,615.7142857142857,2.3333333333333335
75,4,1797.24,449.31,0.05263157894736842
19,1,1757.55,1757.55,0.05
310,1,334.4,334.4,0.003215434083601286
36,11,1545.41,140.4918181818182,0.2972972972972973
204,1,89.0,89.0,0.004878048780487805
232,1,1079.4,1079.4,0.004291845493562232
214,1,459.4,459.4,0.004651162790697674
23,3,2811.43,937.1433333333333,0.125
33,1,6207.67,6207.67,0.029411764705882353
2,2,1168.06,584.03,0.6666666666666666
8,6,6245.53,1040.9216666666666,0.6666666666666666
52,3,2662.06,887.3533333333334,0.05660377358490566
287,1,189.9,189.9,0.003472222222222222
3,13,5154.58,396.50615384615384,3.25
110,2,552.0,276.0,0.018018018018018018
8,4,1313.1,328.275,0.4444444444444444
291,3,320.69,106.89666666666666,0.010273972602739725
4,1,168.9,168.9,0.2
51,4,3545.69,886.4225,0.07692307692307693
45,2,1887.96,943.98,0.043478260869565216
72,3,1298.04,432.68,0.0410958904109589
311,1,364.6,364.6,0.003205128205128205
25,1,742.9300000000001,742.9300000000001,0.038461538461538464
3,3,455.42,151.80666666666667,0.75
315,2,1628.12,814.06,0.006329113924050633
130,1,4008.62,4008.62,0.007633587786259542
82,3,850.29,283.43,0.03614457831325301
22,5,2720.56,544.112,0.21739130434782608
5,6,1803.96,300.66,1.0
185,6,1839.31,306.5516666666667,0.03225806451612903
29,3,566.16,188.72,0.1
338,2,401.9,200.95,0.0058997050147492625
16,6,2780.66,463.4433333333333,0.35294117647058826
80,1,549.84,549.84,0.012345679012345678
22,1,460.89,460.89,0.043478260869565216
72,4,1582.6000000000001,395.65000000000003,0.0547945205479452
64,2,1272.48,636.24,0.03076923076923077
16,15,2998.28,199.88533333333334,0.8823529411764706
36,2,2409.9,1204.95,0.05405405405405406
46,1,1635.6599999999999,1635.6599999999999,0.02127659574468085
119,4,1108.65,277.1625,0.03333333333333333
303,1,84.3,84.3,0.003289473684210526
323,1,225.6,225.6,0.0030864197530864196
50,2,409.7,204.85,0.0392156862745098
149,1,1710.39,1710.39,0.006666666666666667
22,3,3280.75,1093.5833333333333,0.13043478260869565
50,5,1708.1200000000001,341.624,0.09803921568627451
33,9,2842.57,315.8411111111111,0.2647058823529412
79,7,11056.93,1579.5614285714287,0.0875
301,3,681.0799999999999,227.02666666666664,0.009933774834437087
75,3,1226.88,408.96000000000004,0.039473684210526314
67,5,694.15,138.82999999999998,0.07352941176470588
217,3,562.41,187.47,0.013761467889908258
24,26,123725.45,4758.671153846154,1.04
3,12,3578.8,298.23333333333335,3.0
113,1,668.58,668.58,0.008771929824561403
64,1,600.39,600.39,0.015384615384615385
16,5,806.27,161.254,0.29411764705882354
96,3,803.5600000000001,267.85333333333335,0.030927835051546393
1,9,1849.11,205.45666666666665,4.5
163,2,1760.96,880.48,0.012195121951219513
78,1,777.2,777.2,0.012658227848101266
195,1,582.73,582.73,0.00510204081632653
12,5,708.37,141.674,0.38461538461538464
26,12,7877.2,656.4333333333333,0.4444444444444444
9,4,3750.4,937.6,0.4
43,1,256.4,256.4,0.022727272727272728
36,18,6416.39,356.4661111111111,0.4864864864864865
43,5,5059.32,1011.8639999999999,0.11363636363636363
1,7,13375.87,1910.8385714285716,3.5
85,4,765.19,191.2975,0.046511627906976744
80,2,7829.89,3914.945,0.024691358024691357
100,1,509.01,509.01,0.009900990099009901
